time,open,high,low,close,volume
2023-04-22,27133.0,27887.78,27252.96,27821.41,7556.85769964
2023-04-23,27333.2,27820.99,27820.99,27592.98,6255.76778325
2023-04-24,26965.14,28000.0,27592.7,27515.05,12258.59093046
2023-04-25,27194.51,28400.0,27513.85,28304.42,12013.57991051
2023-04-26,27230.77,30050.66,28304.42,28426.08,31636.39150463
2023-04-27,28387.07,29900.0,28428.86,29483.72,24310.36359778
2023-04-28,28900.0,29606.45,29486.97,29338.63,14184.03938836
2023-04-29,29057.3,29470.0,29339.47,29249.35,4909.72717806
2023-04-30,29095.92,29969.99,29249.24,29247.14,6837.06831371
2023-05-01,27664.31,29348.6,29240.49,28077.27,17953.11670042
2023-05-02,27871.44,28899.99,28077.44,28684.4,13258.60505694
2023-05-03,28122.0,29276.12,28683.41,29038.75,15588.83462733
2023-05-04,28674.58,29383.5,29039.36,28857.23,10407.16067489
2023-05-05,28810.0,29706.57,28857.88,29536.76,14691.1261171
2023-05-06,28394.0,29850.0,29538.87,28902.66,8546.79874854
2023-05-07,28429.12,29189.71,28901.3,28474.53,5884.67007423
2023-05-08,27279.66,28676.38,28472.68,27695.06,15859.41839592
2023-05-09,27367.01,27833.64,27693.24,27647.29,8888.42683618
2023-05-10,27637.63,27870.83,27647.29,27695.17,933.4944423
